Trial,Shape,Size,Response
1,Triangle, 0.875, -1
2,Square, 1.125, 0
3,Pentagon, 0.925, 1
4,Quaterfoil-Separated, 0.9, 1
5,Square, 0.925, 0
6,Triangle, 1.075, 1
7,Quaterfoil-Separated, 0.975, -1
8,Star-Separated, 1, 0
9,Octagon, 1.025, 0
10,Octagon, 0.9, 0
11,Quaterfoil-Separated, 1.075, 1
12,Pentagon, 1.1, 1
13,Hexagon, 1, -1
14,Hexagon, 1.025, 0
15,Star-Separated, 0.975, 0
16,Triangle, 1.1, 1
17,Pentagon, 0.975, -1
18,Star-Separated, 1.05, -1
19,Quaterfoil-Separated, 0.925, -1
20,Pentagon, 1.025, -1
21,Star-Separated, 0.95, 0
22,Quaterfoil-Separated, 1, 0
23,Hexagon, 1.125, -1
24,Quaterfoil-Separated, 0.95, 0
25,Star-Separated, 0.875, 0
26,Triangle, 1, 1
27,Star-Separated, 1.125, 1
28,Triangle, 1.025, 1
29,Hexagon, 0.95, 1
30,Square, 1.05, 1
31,Pentagon, 0.95, 0
32,Square, 1.075, 1
33,Quaterfoil-Separated, 0.875, 0
34,Hexagon, 0.9, 0
35,Star-Separated, 0.9, -1
36,Star-Separated, 0.925, 0
37,Hexagon, 0.925, 0
38,Square, 0.975, 0
39,Quaterfoil-Separated, 1.025, 1
40,Octagon, 1.05, -1
41,Star-Separated, 1.075, -1
42,Octagon, 1, 0
43,Octagon, 0.975, 0
44,Quaterfoil-Separated, 1.1, 1
45,Triangle, 0.925, 1
46,Octagon, 1.075, 1
47,Triangle, 0.9, -1
48,Square, 0.9, 0
49,Triangle, 0.95, 1
50,Square, 0.95, 0
51,Star-Separated, 1.025, 0
52,Hexagon, 1.1, 1
53,Triangle, 1.125, 1
54,Quaterfoil-Separated, 1.05, 0
55,Pentagon, 0.9, 1
56,Octagon, 1.125, 1
57,Pentagon, 1.075, 1
58,Hexagon, 1.05, -1
59,Triangle, 1.05, 0
60,Octagon, 1.1, 1
61,Pentagon, 1.125, -1
62,Square, 1.1, 1
63,Hexagon, 1.075, 1
64,Pentagon, 0.875, 0
65,Square, 1.025, 1
66,Square, 1, 0
67,Hexagon, 0.975, 1
68,Quaterfoil-Separated, 1.125, 1
69,Star-Separated, 1.1, 0
70,Triangle, 0.975, 1
71,Pentagon, 1, 0
72,Hexagon, 0.875, 0
73,Octagon, 0.925, 0
74,Octagon, 0.95, 0
75,Square, 0.875, 0
76,Pentagon, 1.05, 1
77,Octagon, 0.875, 0
